,name,emd_g_a,emd_s_a,label,strength,frequency,locationx,locationy
4675,5847.png,0.05646581947803497,0.35778483748435974,0,0.07142857142857142,1.1625744047619047e-05,0.3920096184169032,0.6242900340323768
4676,5848.png,0.06486779451370239,0.2947760820388794,0,7.0,8.138020833333333e-05,0.39231150793650793,0.6241782407407407
4677,5849.png,0.3451084792613983,0.36098527908325195,0,1.5714285714285714,0.00012788318452380953,0.39217983705109954,0.6246683508674787
4678,5850.png,0.05345280468463898,0.38318008184432983,0,1.0,0.00012788318452380953,0.39211474501108645,0.6251847745750184
4679,5851.png,0.09732744842767715,0.3976098299026489,0,0.09090909090909091,1.1625744047619047e-05,0.3921585143491359,0.6251994311875694
4680,5852.png,0.0838182121515274,0.45397359132766724,0,17.0,0.0001976376488095238,0.39269680936347606,0.6246814206883652
4681,5853.png,0.0838182121515274,0.3835825026035309,0,0.0,0.0,0.39269680936347606,0.6246814206883652
4682,5854.png,0.05066519230604172,0.3938605487346649,0,0.0,0.00012788318452380953,0.3927419031585698,0.6241231762065095
4683,5855.png,0.054042741656303406,0.49802541732788086,0,0.6363636363636364,8.138020833333333e-05,0.3926269218449712,0.6236833193198804
4684,5856.png,0.05016376078128815,0.525650680065155,0,0.5714285714285714,4.650297619047619e-05,0.3924834582270408,0.623898460751488
4685,5857.png,0.050933096557855606,0.5788220763206482,0,1.75,8.138020833333333e-05,0.39243410574932314,0.6242712978446674
4686,5858.png,0.06461865454912186,0.46692243218421936,0,1.0,8.138020833333333e-05,0.3922632245802977,0.624029933481153
4687,5859.png,0.05405483394861221,0.42597800493240356,0,1.4285714285714286,0.00011625744047619047,0.3923649777282851,0.6236515172605791
4688,5860.png,0.05405483394861221,0.5716961622238159,0,0.0,0.0,0.3923649777282851,0.6236515172605791
4689,5861.png,0.05432632565498352,0.48950710892677307,0,0.0,5.8128720238095235e-05,0.3922873394640875,0.6237513873473918
4690,5862.png,0.0542156957089901,0.5199692845344543,0,1.0,5.8128720238095235e-05,0.3921065107458913,0.6239197317477876
4691,5863.png,0.05441702902317047,0.5531763434410095,0,1.2,6.975446428571428e-05,0.39202039691289964,0.6240812201396545
4692,5864.png,0.05504372715950012,0.5395491719245911,0,1.5,0.00010463169642857142,0.3919348508634223,0.6244591346153846
4693,5865.png,0.05526765435934067,0.44013017416000366,0,0.5555555555555556,5.8128720238095235e-05,0.39179981203007513,0.6246573464912281
4694,5866.png,0.10159551352262497,0.5577892065048218,0,0.6,3.487723214285714e-05,0.39169828665310596,0.6247375867104783
4695,5867.png,0.10431122779846191,0.5864906311035156,0,1.0,3.487723214285714e-05,0.3917031763417306,0.6248716456736035
4696,5868.png,0.10464663803577423,0.4692598879337311,0,3.6666666666666665,0.00012788318452380953,0.3918885698552549,0.6252036297723935
4697,5869.png,0.1050182655453682,0.4451795816421509,0,1.0,0.00012788318452380953,0.3922285793474818,0.6248181125277162
4698,5870.png,0.08149902522563934,0.38979578018188477,0,0.45454545454545453,5.8128720238095235e-05,0.3921855246523388,0.6245966998525073
4699,5871.png,0.15772686898708344,0.4327925741672516,0,4.2,0.000244140625,0.39183561213264184,0.6237222680601394
4700,5872.png,0.15772686898708344,0.39067715406417847,0,0.0,0.0,0.39183561213264184,0.6237222680601394
4701,5873.png,0.07325391471385956,0.4497740864753723,0,0.0,0.0005347842261904762,0.3899600537889575,0.622782276670358
