,Unnamed: 0,index,emd_ani_sal,emd_ani_gaze,label,labDelta,area,center_x,center_y,eucDist,emd_ani_sal_MA,labDelta_MA,area_MA,center_x_MA,center_y_MA
747,747,2300,7.772416114807129,6.4650702476501465,0,0.216064452151,70.5,264.0,264.0,1.72666816,7.474839782714843,0.198993805050556,70.1,264.6,264.6
748,748,2301,7.45142126083374,5.547752857208252,0,0.102563087164,65.5,264.0,264.0,1.71470688,7.48467493057251,0.175870015823256,69.6,264.5,264.5
749,749,2302,7.640322685241699,5.580888271331787,0,0.256578236827,72.5,264.0,264.0,2.11091488,7.46246566772461,0.20124315568554998,69.8,264.4,264.4
750,750,2303,6.97342586517334,5.547635078430176,0,0.254929609928,69.5,264.0,264.0,1.53047264,7.451987600326538,0.20458360624955,69.7,264.3,264.3
751,751,2304,7.766576766967773,5.571845531463623,0,0.292916401686,71.5,264.0,264.0,1.8611288,7.426954126358032,0.21788751231625003,69.9,264.2,264.2
752,752,2305,7.740626811981201,5.618805408477783,0,0.303548059113,75.5,265.0,265.0,1.52245792,7.47688398361206,0.22823996862805,70.5,264.2,264.2
753,753,2306,7.240155220031738,5.618805408477783,0,0.0108306113437,75.5,265.0,265.0,1.3624872,7.422757530212403,0.20969118576701998,70.9,264.2,264.2
754,754,2307,7.549509048461914,5.620406150817871,0,0.324132599803,71.5,265.0,265.0,1.6171136,7.455580711364746,0.20957434472692,71.0,264.3,264.3
755,755,2308,7.74553108215332,5.595527648925781,0,0.176959276778,69.5,265.0,265.0,1.53640864,7.495806932449341,0.19741978386741998,71.05,264.4,264.4
756,756,2309,7.272891044616699,5.475404262542725,0,0.367782205129,67.0,264.0,264.0,1.49138096,7.515287590026856,0.23063045399227003,70.85,264.4,264.4
757,757,2310,7.445192813873291,6.079898834228516,0,0.18295477192,64.5,264.0,264.0,1.33754,7.482565259933471,0.22731948596917,70.25,264.4,264.4
758,758,2311,6.675106048583984,6.079898834228516,0,0.0420646482952,64.5,264.0,264.0,1.10870392,7.404933738708496,0.22126964208229,70.15,264.4,264.4
759,759,2312,8.033361434936523,5.517673492431641,0,0.314688150814,70.5,265.0,265.0,1.88657936,7.444237613677979,0.22708063348099,69.95,264.5,264.5
760,760,2313,6.629452705383301,7.708350658416748,0,0.256317023089,69.5,265.0,265.0,1.32782352,7.409840297698975,0.22721937479709,69.95,264.6,264.6
761,761,2314,7.68097972869873,7.873842716217041,0,0.206742566474,70.5,264.0,264.0,1.58807088,7.4012805938720705,0.21860199127589,69.85,264.6,264.6
762,762,2315,7.234446048736572,6.383649349212647,0,0.236769357845,69.5,265.0,265.0,1.69219408,7.350662517547607,0.21192412114909,69.25,264.6,264.6
763,763,2316,8.034183502197266,6.382207870483398,0,0.0852241528727,71.0,265.0,265.0,1.88118016,7.43006534576416,0.21936347530199002,68.8,264.6,264.6
764,764,2317,6.909661769866943,6.399107933044434,0,0.24592725791,69.0,264.0,264.0,1.40488224,7.366080617904663,0.21154294111268998,68.55,264.5,264.5
765,765,2318,7.654901027679443,5.884600162506104,0,0.294874033605,71.0,264.0,264.0,1.58745488,7.357017612457275,0.22333441679538998,68.7,264.4,264.4
766,766,2319,6.755054473876953,6.272970676422119,0,0.165026053392,69.0,264.0,264.0,1.31857408,7.305233955383301,0.20305880162169002,68.9,264.4,264.4
767,767,2320,8.045890808105469,6.824426651000977,0,0.375942621081,68.0,265.0,265.0,1.62502016,7.3653037548065186,0.22235758653778998,69.25,264.5,264.5
768,768,2321,7.279743194580078,6.824426651000977,0,0.024945086876,68.0,265.0,265.0,1.37664272,7.425767469406128,0.22064563039586998,69.6,264.6,264.6
769,769,2322,7.512407302856445,5.24169921875,0,0.200573885408,72.0,264.0,264.0,1.89057712,7.37367205619812,0.20923420385527,69.75,264.5,264.5
770,770,2323,7.045973300933838,6.869086742401123,0,0.257570579965,71.5,264.0,264.0,1.4163232,7.415324115753174,0.20935955954286997,69.95,264.4,264.4
771,771,2324,7.4148454666137695,6.5335845947265625,0,0.25408600769,70.5,264.0,264.0,1.73416704,7.388710689544678,0.21409390366447,69.95,264.4,264.4
772,772,2325,7.2862443923950195,6.297628402709961,0,0.323497371434,70.5,264.0,264.0,1.65276736,7.393890523910523,0.22276670502336998,70.05,264.3,264.3
773,773,2326,7.661291599273682,6.280328750610352,0,0.101654930381,71.5,264.0,264.0,1.79371936,7.356601333618164,0.22440978277419998,70.1,264.2,264.2
774,774,2327,7.224508762359619,6.478092193603516,0,0.396656120373,69.5,265.0,265.0,1.9331024,7.388086032867432,0.2394826690205,70.15,264.3,264.3
775,775,2328,7.491524696350098,6.648138523101807,0,0.12901837654,66.5,264.0,264.0,1.64190112,7.371748399734497,0.222897103314,69.7,264.3,264.3
776,776,2329,6.9107441902160645,6.346557140350342,0,0.363258189154,68.5,264.0,264.0,1.54620192,7.387317371368408,0.2427203168902,69.65,264.3,264.3
777,777,2330,7.511918067932129,6.226744174957275,0,0.380230035821,67.0,263.0,263.0,1.55807392,7.333920097351074,0.24314905836420003,69.55,264.1,264.1
778,778,2331,6.738342761993408,6.255488395690918,0,0.262174133663,66.5,263.0,263.0,1.93234544,7.279780054092408,0.2668719630429,69.4,263.9,263.9
779,779,2332,7.750780582427978,6.286606788635254,0,0.222426796088,69.0,263.0,263.0,1.63304496,7.303617382049561,0.26905725411090003,69.1,263.8,263.8
780,780,2333,6.596036911010742,6.295445442199707,0,0.051106421447,67.0,263.0,263.0,1.874804,7.258623743057251,0.24841083825910001,68.65,263.7,263.7
781,781,2334,8.092409133911133,3.962571144104004,0,0.241877917716,66.0,263.0,263.0,1.68079936,7.326380109786987,0.24719002926169997,68.2,263.6,263.6
782,782,2335,6.197066783905029,1.146278977394104,0,0.306883949975,67.0,264.0,264.0,1.63460288,7.217462348937988,0.2455286871158,67.85,263.6,263.6
783,783,2336,7.184453964233398,1.5196577310562134,0,0.221958592288,74.5,264.0,264.0,1.77669024,7.16977858543396,0.25755905330650003,68.15,263.6,263.6
784,784,2337,6.731119155883789,1.5118865966796875,0,0.0196582684306,74.5,264.0,264.0,1.60709312,7.120439624786377,0.21985926811225998,68.65,263.5,263.5
785,785,2338,7.539578914642334,1.4935377836227417,0,0.320221644656,60.5,263.0,263.0,1.66728848,7.125245046615601,0.23897959492386,68.05,263.4,263.4
786,786,2339,6.563439846038818,1.4026745557785034,0,0.337279473687,65.5,263.0,263.0,1.86894512,7.090514612197876,0.23638172337715999,67.75,263.3,263.3
787,787,2340,7.6948747634887695,1.5813783407211304,0,0.29387128882,68.0,263.0,263.0,1.38745216,7.10881028175354,0.22774584867706,67.85,263.3,263.3
788,788,2341,6.445540904998779,1.5746047496795654,0,0.0899852006926,69.0,262.0,262.0,1.75371232,7.079530096054077,0.21052695538002003,68.1,263.2,263.2
789,789,2342,7.703418731689453,1.5433263778686523,0,0.418367496878,73.5,263.0,263.0,1.515932,7.074793910980224,0.23012102545902002,68.55,263.2,263.2
790,790,2343,6.448882579803467,1.54375159740448,0,0.432011395454,68.0,263.0,263.0,1.68637024,7.060078477859497,0.26821152285972005,68.65,263.2,263.2
791,791,2344,7.379995346069336,1.4551323652267456,0,0.406806813688,69.0,260.0,260.0,1.26707712,6.988837099075317,0.28470441245692,68.95,262.9,262.9
792,792,2345,6.666380405426025,1.4551323652267456,0,0.0671077093927,69.0,260.0,260.0,1.9353976,7.035768461227417,0.26072678839869,69.15,262.5,262.5
793,793,2346,6.652435779571533,1.2627298831939695,0,0.261700076144,70.0,258.0,258.0,1.2657192,6.98256664276123,0.26470093678429,68.7,261.9,261.9
794,794,2347,5.495089054107666,0.5692136883735657,0,0.284370591297,64.5,255.0,255.0,1.71818048,6.8589636325836185,0.29117216907093,67.7,261.0,261.0
795,795,2348,6.8720526695251465,1.011712670326233,0,0.492475123026,61.5,251.0,251.0,1.82099184,6.7922110080719,0.30839751690792994,67.8,259.8,259.8
796,796,2349,5.282140254974365,1.8365124464035036,0,0.827255348193,59.0,246.0,246.0,1.67696784,6.664081048965454,0.35739510435853,67.15,258.1,258.1
797,797,2350,4.885127067565918,1.8365124464035036,0,0.146113378102,59.0,246.0,246.0,1.44726608,6.383106279373169,0.34261931328673,66.25,256.4,256.4
798,798,2351,4.525093078613281,1.809765577316284,0,0.694901839838,64.5,243.0,243.0,1.57477952,6.191061496734619,0.40311097720127,65.8,254.5,254.5
799,799,2352,3.999900579452514,2.52750563621521,0,0.597084482003,60.5,241.0,241.0,1.60282624,5.820709681510925,0.42098267571376996,64.5,252.3,252.3
800,800,2353,4.13554573059082,2.4525628089904785,0,0.708867209842,60.0,236.0,236.0,1.32773904,5.589375996589661,0.44866825715256997,63.7,249.6,249.6
801,801,2354,3.113590717315674,2.3167855739593506,0,0.893474625519,55.0,233.0,233.0,2.33523904,5.162735533714295,0.49733503833567,62.3,246.9,246.9
802,802,2355,3.255367517471313,1.5969350337982178,0,0.791841771771,57.5,233.0,233.0,1.29385128,4.821634244918823,0.5698084445735,61.15,244.2,244.2
803,803,2356,3.4203319549560547,1.6050198078155518,0,0.168721499602,56.5,233.0,233.0,1.86091808,4.498423862457275,0.5605105869193,59.8,241.7,241.7
804,804,2357,2.801192045211792,1.1766705513000488,0,0.777706980718,58.0,228.0,228.0,1.40961248,4.229034161567688,0.6098442258614,59.15,239.0,239.0
805,805,2358,2.5895771980285645,1.1089783906936646,0,0.516255976045,58.0,227.0,227.0,1.4273728,3.80078661441803,0.6122223111633001,58.8,236.6,236.6
806,806,2359,2.6533892154693604,1.1089783906936646,0,0.048511095314,58.0,227.0,227.0,1.7157032,3.5379115104675294,0.5343478858754,58.7,234.7,234.7
807,807,2360,3.415522336959839,0.556202232837677,0,0.579006001559,52.5,226.0,226.0,1.78004592,3.3909510374069214,0.5776371482211,58.05,232.7,232.7
808,808,2361,2.9846835136413574,0.5382025241851807,0,0.474252948893,55.0,229.0,229.0,1.9844472,3.236910080909729,0.5555722591266,57.1,231.3,231.3
809,809,2362,2.919050693511963,1.2334538698196411,0,0.552403576826,54.0,231.0,231.0,1.29711416,3.1288250923156737,0.5511041686089,56.45,230.3,230.3
810,810,2363,3.3370251655578613,0.5778135061264038,0,0.416504709885,54.5,232.0,232.0,1.63715424,3.048973035812378,0.5218679186132,55.9,229.9,229.9
811,811,2364,3.916888475418091,0.5778135061264038,0,0.0660304046358,54.5,232.0,232.0,1.57363808,3.12930281162262,0.43912349652488,55.85,229.8,229.8
812,812,2365,3.7964043617248535,2.606910467147827,0,0.656047972644,56.0,234.0,234.0,1.68309568,3.1834064960479735,0.42554411661218,55.7,229.9,229.9
813,813,2366,3.713338851928711,3.5142524242401123,0,0.48048749483,55.5,236.0,236.0,1.18391336,3.212707185745239,0.45672071613498,55.6,230.2,230.2
814,814,2367,3.8890249729156494,5.1951189041137695,0,0.719623703156,59.5,238.0,238.0,1.30896944,3.321490478515625,0.45091238837878,55.75,231.2,231.2
815,815,2368,5.421030521392822,3.458268880844116,0,0.625482942525,59.5,242.0,242.0,1.76631392,3.604635810852051,0.46183508502678006,55.9,232.7,232.7
816,816,2369,5.127957344055176,3.994210958480835,0,0.351980688532,58.5,244.0,244.0,1.47650912,3.8520926237106323,0.49218204434858004,55.95,234.4,234.4
817,817,2370,4.653186798095703,5.15817403793335,0,0.361351215628,54.5,246.0,246.0,1.64493504,3.9758590698242187,0.47041656575547997,56.15,236.4,236.4
818,818,2371,5.140887260437012,5.150948524475098,0,0.0787449379247,54.5,246.0,246.0,1.83662304,4.191479444503784,0.43086576465865,56.1,238.1,238.1
819,819,2372,5.686054229736328,3.611248254776001,0,0.460969874795,63.0,247.0,247.0,1.52781744,4.46817979812622,0.42172239445555004,57.0,239.7,239.7
820,820,2373,4.944167613983154,4.289152145385742,0,0.435645172165,60.0,250.0,250.0,1.91674752,4.62889404296875,0.42363644068354994,57.55,241.5,241.5
821,821,2374,5.531919956207275,7.617757320404053,0,0.504922161935,64.0,250.0,250.0,1.49011888,4.790397191047669,0.46752561641346996,58.5,243.3,243.3
822,822,2375,5.620053768157959,7.541592121124268,0,0.586952921304,63.5,253.0,253.0,1.66557904,4.972762131690979,0.46061611127947,59.25,245.2,245.2
823,823,2376,6.000244617462158,7.529386043548584,0,0.109580978916,65.5,253.0,253.0,1.70460656,5.201452708244323,0.42352545968807,60.25,246.9,246.9
824,824,2377,5.9279398918151855,7.510001182556152,0,0.81995718064,66.0,254.0,254.0,1.31393608,5.4053442001342775,0.4335588074364701,60.9,248.5,248.5
825,825,2378,5.58003568649292,7.515434265136719,0,0.608024338759,63.5,255.0,255.0,1.72224144,5.421244716644287,0.43181294705987006,61.3,249.8,249.8
826,826,2379,5.007372856140137,7.521454334259033,0,0.539397766479,64.0,254.0,254.0,2.076064,5.409186267852784,0.45055465485457,61.85,250.8,250.8
827,827,2380,5.622713088989258,7.459961414337158,0,0.510398263341,68.0,253.0,253.0,1.36409856,5.506138896942138,0.46545935962587004,63.2,251.5,251.5
828,828,2381,4.953262805938721,7.459961414337158,0,0.196633294186,68.0,253.0,253.0,1.58573952,5.48737645149231,0.47724819525199996,64.55,252.2,252.2
829,829,2382,6.229165554046631,1.0890755653381348,0,1.05075379951,65.5,253.0,253.0,1.65722528,5.5416875839233395,0.5362265877235,64.8,252.8,252.8
830,830,2383,5.214128494262695,0.7577366232872009,0,0.440029949922,65.0,253.0,253.0,1.92521552,5.568683671951294,0.5366650654992,65.3,253.1,253.1
831,831,2384,5.772050857543945,1.1513662338256836,0,0.296660164975,70.0,253.0,253.0,1.5149528,5.592696762084961,0.5158388658032,65.9,253.4,253.4
832,832,2385,4.591763019561768,1.1961125135421753,0,0.392362921755,50.5,249.0,249.0,1.5560608,5.489867687225342,0.4963798658483,64.6,253.0,253.0
833,833,2386,3.8250582218170166,1.533509373664856,0,0.507286423648,63.5,244.0,244.0,1.23369744,5.2723490476608275,0.5361504103215,64.4,252.1,252.1
834,834,2387,4.749828815460205,1.539285659790039,0,0.045444952721,62.5,244.0,244.0,1.57965792,5.15453794002533,0.4586991875295999,64.05,251.1,251.1
835,835,2388,3.82637357711792,2.055083513259888,0,0.250137395791,58.0,237.0,237.0,1.3214456,4.979171729087829,0.4229104932328,63.5,249.3,249.3
